VEHICLEID,TMD_SRCE_ENTITY,DAMAGE,CNT_DAMAGE,CNT_DAMAGE_DISTINCT,CNT_LARGE_DAMAGE,DAMAGE_MAX,ROWNUM
220333,LPBE,633.09,7,7,1,230.77,1
220333,LPBE,633.09,7,7,1,230.77,2
220871,LPNL,,0,0,0,,1
220889,LPDE,7853.35,16,16,13,2019.87,1
220889,LPDE,2173.09,13,13,6,267.59,2
222765,LPDE,1364.66,5,5,4,406.09,1
222765,LPDE,798.8,5,5,3,243.65,2
223396,LPNL,1.03,3,3,0,1,1
223409,LPBE,264.2,5,5,0,160.41,1
223409,LPBE,264.2,5,5,0,160.41,2
223605,LPDE,459.05,3,3,2,239.7,1
223605,LPDE,600,1,1,1,600,2
223739,LPDE,802.24,5,5,3,359.71,1
223739,LPDE,521.47,4,4,1,233.81,2
223766,LPNL,0,2,2,0,0,1
224075,LPDE,613.26,4,4,2,339.96,1
224075,LPDE,376.78,2,2,1,220.97,2
224093,LPDE,536.01,3,3,2,296.31,1
224093,LPDE,348.41,2,2,0,192.6,2
224120,LPBE,822.32,6,6,2,260,1
224120,LPBE,822.32,6,6,2,260,2
224266,LPDE,1856.63,7,7,5,552.07,1
224266,LPDE,649.81,5,5,0,193.22,2
224289,LPBE,2050.06,11,11,4,537.74,1
224289,LPBE,2050.06,11,11,4,537.74,2
224298,LPBE,2093.58,9,9,3,747.81,1
224298,LPBE,2093.58,9,9,3,747.81,2
224340,LPNL,0,2,2,0,0,1
224340,LPNL,0,2,2,0,0,2
224411,LPBE,324.06,4,4,1,239.05,1
224411,LPBE,324.06,4,4,1,239.05,2
224435,LPDE,5614.23,15,15,11,1317.4,1
224435,LPDE,556.6,13,13,0,141,2
224483,LPNL,582.9,3,3,2,339.56,1
224483,LPNL,582.9,3,3,2,339.56,2
224573,LPNL,1078.14,4,4,2,764.55,1
224573,LPNL,1078.14,4,4,2,764.55,2
224575,LPDE,473.43,6,6,2,239.7,1
224575,LPDE,240.39,3,3,0,131.84,2
224615,LPBE,1314.62,11,11,1,332.87,1
224615,LPBE,1314.62,11,11,1,332.87,2
224769,LPNL,693.35,4,4,3,242.33,1
224769,LPNL,693.35,4,4,3,242.33,2
224883,LPBE,92.51,3,3,0,90,1
224883,LPBE,92.51,3,3,0,90,2
224905,LPBE,1111.1,8,8,1,450,1
224905,LPBE,1111.1,8,8,1,450,2
224967,LPBE,251.94,5,5,1,248.86,1
224967,LPBE,251.94,5,5,1,248.86,2
224983,LPNL,448.4,3,3,2,242.33,1
224983,LPNL,448.4,3,3,2,242.33,2
225042,LPDE,3226.14,13,13,10,485.09,1
225042,LPDE,1897.61,11,11,2,272,2
225165,LPDE,1788.37,6,6,5,480.37,1
225165,LPDE,804.77,5,5,1,216.17,2
225165,LPNL,716.86,4,4,2,405.65,1
225165,LPNL,716.86,4,4,2,405.65,2
225169,LPBE,239.07,3,3,1,235.54,1
225169,LPBE,239.07,3,3,1,235.54,2
225225,LPBE,662.61,7,7,2,244.05,1
225225,LPBE,662.61,7,7,2,244.05,2
225228,LPBE,1039.69,9,9,2,498.74,1
225228,LPBE,1039.69,9,9,2,498.74,2
225252,LPDE,582.91,4,4,2,343.21,1
225252,LPDE,262.31,2,2,0,154.44,2
225258,LPDE,1754.21,7,7,4,833.14,1
225258,LPDE,496.99,4,4,0,150,2
225266,LPBE,1444.14,8,8,2,649.89,1
225266,LPBE,1444.14,8,8,2,649.89,2
225283,LPBE,1209.87,11,11,3,239.05,1
225283,LPBE,1209.87,11,11,3,239.05,2
225350,LPDE,2761.53,13,13,5,713.15,1
225350,LPDE,1973.72,12,12,4,427.89,2
225460,LPNL,513.27,4,4,2,268.08,1
225460,LPNL,513.27,4,4,2,268.08,2
225462,LPNL,693.36,5,5,2,375.8,1
225462,LPNL,693.36,5,5,2,375.8,2
225514,LPNL,2742.14,11,11,8,412.55,1
225514,LPNL,2742.14,11,11,8,412.55,2
225518,LPNL,802.81,4,4,3,286.16,1
225518,LPNL,802.81,4,4,3,286.16,2
225557,LPNL,494.4,3,3,2,250.53,1
225557,LPNL,494.4,3,3,2,250.53,2
225562,LPNL,1079.27,5,5,4,339.63,1
225562,LPNL,1079.27,5,5,4,339.63,2
225600,LPDE,2052.76,8,8,4,701.21,1
225600,LPDE,1319.42,5,5,2,686.49,2
225626,LPNL,1085.15,7,7,3,424.01,1
225626,LPNL,1085.15,7,7,3,424.01,2
225686,LPBE,183.9,3,3,0,181.25,1
225686,LPBE,183.9,3,3,0,181.25,2
225686,LPDE,1606.48,6,6,4,533.86,1
225686,LPDE,722.92,4,4,2,240.24,2
225720,LPBE,2442.32,16,16,3,629.85,1
225720,LPBE,2442.32,16,16,3,629.85,2
225760,LPDE,710.73,4,4,2,421.03,1
225760,LPDE,413.42,4,4,1,231.57,2
225823,LPNL,707.71,4,4,3,242.33,1
225823,LPNL,707.71,4,4,3,242.33,2
225926,LPNL,0,2,2,0,0,1
225926,LPNL,0,2,2,0,0,2
226052,LPBE,0,2,2,0,0,1
226052,LPBE,0,2,2,0,0,2
226126,LPDE,3159.64,11,11,5,1910.78,1
226126,LPDE,251.48,2,2,0,143.61,2
226251,LPDE,4607.8,13,13,11,493.48,1
226251,LPDE,760.89,9,9,0,100,2
226277,LPDE,2437.36,10,10,7,520.66,1
226277,LPDE,853.09,7,7,0,182.23,2
226412,LPBE,231.36,3,3,1,228.7,1
226412,LPBE,231.36,3,3,1,228.7,2
226528,LPBE,746.06,6,6,3,258.67,1
226528,LPBE,746.06,6,6,3,258.67,2
226621,LPNL,112.92,3,3,0,111.26,1
226621,LPNL,112.92,3,3,0,111.26,2
226715,LPNL,684.85,6,6,2,294.92,1
226715,LPNL,684.85,6,6,2,294.92,2
226723,LPDE,2292.45,11,11,5,476.92,1
226723,LPDE,733.72,8,8,0,143.08,2
226724,LPDE,3227.02,9,9,8,619.53,1
226724,LPDE,1242.49,7,7,3,278.79,2
226793,LPBE,370.37,4,4,0,180,1
226793,LPBE,370.37,4,4,0,180,2
226873,LPBE,114.16,5,5,0,50,1
226873,LPBE,114.16,5,5,0,50,2
226959,LPBE,493.43,5,5,1,253.97,1
226959,LPBE,493.43,5,5,1,253.97,2
226980,LPBE,205.89,3,3,1,202.91,1
226980,LPBE,205.89,3,3,1,202.91,2
227007,LPDE,1075.45,6,6,3,393.2,1
227007,LPDE,490.18,4,4,0,157.28,2
227104,LPDE,4738.4,14,14,10,2084.34,1
227131,LPBE,832.54,8,8,1,207.04,1
227131,LPBE,832.54,8,8,1,207.04,2
227143,LPDE,1651.34,6,6,5,432.9,1
227143,LPDE,809.18,5,5,1,247.74,2
227183,LPNL,0,2,2,0,0,1
227183,LPNL,0,2,2,0,0,2
227251,LPNL,1233.23,6,6,4,448.4,1
227251,LPNL,1233.23,6,6,4,448.4,2
227303,LPBE,143.32,7,7,0,90,1
227303,LPBE,143.32,7,7,0,90,2
227322,LPBE,1334.06,6,6,2,585.49,1
227322,LPBE,1334.06,6,6,2,585.49,2
227546,LPBE,25.72,3,3,0,25,1
227546,LPBE,25.72,3,3,0,25,2
227555,LPBE,1144.6,8,8,3,486.96,1
227555,LPBE,1144.6,8,8,3,486.96,2
227574,LPBE,382.86,4,4,1,292.15,1
227574,LPBE,382.86,4,4,1,292.15,2
227700,LPNL,468.27,4,4,1,242.33,1
227700,LPNL,468.27,4,4,1,242.33,2
227718,LPDE,583.84,5,5,2,294.14,1
227718,LPDE,236.86,4,4,0,102.95,2
227734,LPNL,1000.21,6,6,3,338.06,1
227734,LPNL,1000.21,6,6,3,338.06,2
227741,LPDE,2870.09,10,10,7,651.77,1
227741,LPDE,1059.63,7,7,2,260.71,2
227767,LPDE,2480.08,7,7,5,867.9,1
227767,LPDE,1082.04,6,6,2,347.16,2
227858,LPNL,872.79,4,4,2,455.3,1
227858,LPNL,872.79,4,4,2,455.3,2
227889,LPBE,175.17,4,4,0,123.39,1
227889,LPBE,175.17,4,4,0,123.39,2
227957,LPNL,66.95,3,3,0,65,1
227957,LPNL,66.95,3,3,0,65,2
227959,LPBE,1175.76,8,8,2,535.8,1
227959,LPBE,1175.76,8,8,2,535.8,2
227970,LPBE,114.65,6,6,0,80,1
227970,LPBE,114.65,6,6,0,80,2
228051,LPNL,919.34,5,5,2,404.41,1
228051,LPNL,919.34,5,5,2,404.41,2
228111,LPDE,806.17,4,4,2,394.9,1
228111,LPDE,279.23,2,2,0,173.76,2
228345,LPNL,508.39,3,3,2,264.14,1
228345,LPNL,508.39,3,3,2,264.14,2
228377,LPNL,0,2,2,0,0,1
228377,LPNL,0,2,2,0,0,2
228400,LPDE,1582.96,6,6,4,527,1
228400,LPDE,1028.93,4,4,3,342.55,2
228494,LPBE,2502.13,17,17,4,281,1
228494,LPBE,2502.13,17,17,4,281,2
228496,LPBE,280.69,4,4,0,185.82,1
228496,LPBE,280.69,4,4,0,185.82,2
228505,LPNL,758.7,5,5,2,342.45,1
228505,LPNL,758.7,5,5,2,342.45,2
228715,LPBE,92.21,3,3,0,90,1
228715,LPBE,92.21,3,3,0,90,2
228748,LPNL,1335.51,8,8,4,242.57,1
228748,LPNL,1335.51,8,8,4,242.57,2
228758,LPDE,2167.89,9,9,5,533.07,1
228758,LPDE,897.16,8,8,1,213.23,2
228849,LPNL,0,2,2,0,0,1
228849,LPNL,0,2,2,0,0,2
228948,LPNL,0,2,2,0,0,1
228948,LPNL,0,2,2,0,0,2
229038,LPBE,1293.41,11,11,2,224.9,1
229038,LPBE,1293.41,11,11,2,224.9,2
229060,LPDE,3925.41,11,11,9,727.98,1
229060,LPDE,2203.99,10,10,4,400.39,2
229109,LPBE,1048.62,10,10,1,232.08,1
229109,LPBE,1048.62,10,10,1,232.08,2
229165,LPBE,266.71,5,5,0,90,1
229165,LPBE,266.71,5,5,0,90,2
229192,LPBE,1009.77,6,6,2,314.65,1
229192,LPBE,1009.77,6,6,2,314.65,2
229218,LPDE,1309.1,6,6,4,533.07,1
229218,LPDE,553.65,6,6,1,213.23,2
229288,LPDE,2136.04,7,7,5,656.4,1
229288,LPDE,1451.64,7,7,4,426.66,2
229381,LPBE,438.52,7,7,1,346.9,1
229381,LPBE,438.52,7,7,1,346.9,2
229401,LPNL,0,2,2,0,0,1
229401,LPNL,0,2,2,0,0,2
229444,LPNL,128.75,4,4,0,95,1
229444,LPNL,128.75,4,4,0,95,2
229462,LPBE,1996.21,17,17,4,242.32,1
229462,LPBE,1996.21,17,17,4,242.32,2
229471,LPNL,2997.63,12,12,8,435.5,1
229471,LPNL,2997.63,12,12,8,435.5,2
229525,LPNL,0,2,2,0,0,1
229525,LPNL,0,2,2,0,0,2
229542,LPNL,194.7,5,5,0,119.46,1
229542,LPNL,194.7,5,5,0,119.46,2
229551,LPBE,155.7,4,4,0,124.96,1
229551,LPBE,155.7,4,4,0,124.96,2
229573,LPDE,2926.66,8,8,5,1634.73,1
229573,LPDE,,0,0,0,,2
229655,LPNL,1486.95,9,9,4,560.9,1
229655,LPNL,1486.95,9,9,4,560.9,2
229722,LPBE,606.64,7,7,1,255.23,1
229722,LPBE,606.64,7,7,1,255.23,2
229808,LPBE,662.3,5,5,2,242.98,1
229808,LPBE,662.3,5,5,2,242.98,2
229929,LPBE,612.42,7,7,1,216.44,1
229929,LPBE,612.42,7,7,1,216.44,2
229966,LPDE,1459.36,6,6,4,432.9,1
229966,LPDE,783.65,5,5,1,216.45,2
229985,LPNL,202.91,7,7,0,95,1
229985,LPNL,202.91,7,7,0,95,2
230051,LPBE,368.28,4,4,0,194.7,1
230051,LPBE,368.28,4,4,0,194.7,2
230088,LPDE,3151.61,13,13,10,498.7,1
230088,LPDE,1135.58,11,11,0,174.55,2
230194,LPBE,1277.63,9,9,2,518.76,1
230194,LPBE,1277.63,9,9,2,518.76,2
230204,LPBE,1544.18,8,8,2,664.12,1
230204,LPBE,1544.18,8,8,2,664.12,2
230260,LPNL,0,2,2,0,0,1
230260,LPNL,0,2,2,0,0,2
230269,LPDE,2474.01,8,8,6,1025.07,1
230269,LPDE,889.37,7,7,1,238.24,2
230292,LPNL,0,2,2,0,0,1
230292,LPNL,0,2,2,0,0,2
230294,LPDE,2677.43,9,9,7,607.95,1
230294,LPDE,1608.89,9,9,5,334.37,2
230296,LPBE,185.01,3,3,0,182.2,1
230296,LPBE,185.01,3,3,0,182.2,2
230296,LPNL,0,2,2,0,0,1
230296,LPNL,0,2,2,0,0,2
230334,LPNL,952.68,4,4,2,678.11,1
230334,LPNL,952.68,4,4,2,678.11,2
230372,LPDE,2123.58,7,7,5,605.68,1
230372,LPDE,743.27,7,7,1,211.99,2
230382,LPBE,1490.83,12,12,4,297.53,1
230382,LPBE,1490.83,12,12,4,297.53,2
230390,LPBE,569.69,6,6,1,223.84,1
230390,LPBE,569.69,6,6,1,223.84,2
230551,LPDE,1819.73,8,8,5,520.66,1
230551,LPDE,727.89,6,6,1,208.26,2
230606,LPBE,823.96,7,7,2,310.32,1
230606,LPBE,823.96,7,7,2,310.32,2
230612,LPNL,1417.27,8,8,3,503.49,1
230612,LPNL,1417.27,8,8,3,503.49,2
230619,LPNL,0,2,2,0,0,1
230619,LPNL,0,2,2,0,0,2
230627,LPNL,634.65,3,3,2,391.5,1
230627,LPNL,634.65,3,3,2,391.5,2
230690,LPDE,1300.39,4,4,3,651.12,1
230690,LPDE,0,4,4,1,227.89,2
230723,LPBE,750.81,6,6,1,211.58,1
230723,LPBE,750.81,6,6,1,211.58,2
230740,LPDE,1993.78,7,7,5,561.57,1
230740,LPDE,0.01,1,1,0,0.01,2
230751,LPDE,1345.32,6,6,4,359.71,1
230751,LPDE,784.93,5,5,0,197.84,2
230772,LPBE,588.37,5,5,1,204.64,1
230772,LPBE,588.37,5,5,1,204.64,2
230782,LPBE,1006.81,5,5,2,618.93,1
230782,LPBE,1006.81,5,5,2,618.93,2
230857,LPDE,2335.67,7,7,5,776.56,1
230857,LPDE,1257.13,5,5,3,427.11,2
230910,LPBE,1291.13,8,8,3,370.38,1
230910,LPBE,1291.13,8,8,3,370.38,2
230982,LPNL,1124.65,4,4,3,602.1,1
230982,LPNL,1124.65,4,4,3,602.1,2
231014,LPNL,208.85,4,4,0,111,1
231014,LPNL,208.85,4,4,0,111,2
231090,LPDE,1638.39,5,5,3,902.01,1
231090,LPDE,0.01,5,5,0,142.58,2
231428,LPDE,1164.02,6,6,4,345.88,1
231428,LPDE,302.08,4,4,0,190.23,2
231483,LPNL,782.28,5,5,2,253.35,1
231483,LPNL,782.28,5,5,2,253.35,2
231488,LPNL,868.73,4,4,2,427.13,1
231488,LPNL,868.73,4,4,2,427.13,2
231496,LPNL,0,2,2,0,0,1
231496,LPNL,0,2,2,0,0,2
231545,LPBE,0,2,2,0,0,1
231545,LPBE,0,2,2,0,0,2
231560,LPNL,97.85,3,3,0,95,1
231560,LPNL,97.85,3,3,0,95,2
231595,LPBE,0,2,2,0,0,1
231595,LPBE,0,2,2,0,0,2
231610,LPBE,1401.77,12,12,2,351.7,1
231610,LPBE,1401.77,12,12,2,351.7,2
231611,LPNL,0,2,2,0,0,1
231611,LPNL,0,2,2,0,0,2
231625,LPBE,503.24,5,5,1,290.13,1
231625,LPBE,503.24,5,5,1,290.13,2
231746,LPDE,8024.66,20,20,15,1380.08,1
231746,LPDE,4679.62,15,15,4,2400,2
231767,LPBE,1890.47,17,17,3,300,1
231767,LPBE,1890.47,17,17,3,300,2
231815,LPDE,0,2,2,0,0,1
231815,LPDE,,0,0,0,,2
231830,LPBE,540.54,7,7,1,270.2,1
231830,LPBE,540.54,7,7,1,270.2,2
231880,LPNL,933.24,5,5,4,248.55,1
231880,LPNL,933.24,5,5,4,248.55,2
231900,LPDE,2265.33,8,8,7,404.09,1
231900,LPDE,792.87,7,7,0,141.43,2
231916,LPBE,431.76,8,8,0,188.1,1
231916,LPBE,431.76,8,8,0,188.1,2
232082,LPDE,3805.64,13,13,9,657.9,1
232082,LPDE,1396.98,12,12,1,230.27,2
232083,LPNL,855.4,5,5,3,381.87,1
232083,LPNL,855.4,5,5,3,381.87,2
232133,LPNL,1920.83,8,8,4,598.99,1
232133,LPNL,1920.83,8,8,4,598.99,2
232182,LPNL,1104.45,5,5,4,339.56,1
232182,LPNL,1104.45,5,5,4,339.56,2
232192,LPBE,705.39,7,7,1,239.38,1
232192,LPBE,705.39,7,7,1,239.38,2
232224,LPBE,1270.87,8,8,3,404.38,1
232224,LPBE,1270.87,8,8,3,404.38,2
232247,LPDE,1041.79,4,4,3,421.54,1
232247,LPDE,573,4,4,2,231.85,2
232674,LPNL,0,2,2,0,0,1
232674,LPNL,0,2,2,0,0,2
232728,LPNL,0,2,2,0,0,1
232728,LPNL,0,2,2,0,0,2
232850,LPNL,0,2,2,0,0,1
232850,LPNL,0,2,2,0,0,2
232856,LPNL,596.4,4,4,2,277.97,1
232856,LPNL,596.4,4,4,2,277.97,2
232957,LPNL,0,2,2,0,0,1
232957,LPNL,0,2,2,0,0,2
263676,LPDE,1658.24,5,5,4,511.03,1
263676,LPDE,1326.59,4,4,4,408.82,2
265502,LPNL,529.72,3,3,2,285.27,1
265502,LPNL,529.72,3,3,2,285.27,2
265974,LPNL,0,2,2,0,0,1
265974,LPNL,0,2,2,0,0,2
266573,LPDE,0,2,2,0,0,1
266573,LPDE,,0,0,0,,2
266830,LPDE,0,2,2,0,0,1
266830,LPDE,,0,0,0,,2
266835,LPDE,0,2,2,0,0,1
266835,LPDE,,0,0,0,,2
266835,LPNL,669.52,3,3,2,425.28,1
266835,LPNL,669.52,3,3,2,425.28,2
266845,LPNL,0,2,2,0,0,1
266845,LPNL,0,2,2,0,0,2
266848,LPNL,675.88,5,5,2,242.33,1
266848,LPNL,675.88,5,5,2,242.33,2
266850,LPDE,0,2,2,0,0,1
266850,LPDE,,0,0,0,,2
266865,LPNL,697.64,5,5,1,250.46,1
266865,LPNL,697.64,5,5,1,250.46,2
267069,LPDE,804.75,4,4,2,444.05,1
267069,LPDE,558.09,3,3,1,288.63,2
267147,LPDE,0,2,2,0,0,1
267147,LPDE,,0,0,0,,2
267220,LPNL,0,2,2,0,0,1
267220,LPNL,0,2,2,0,0,2
267222,LPDE,1426.38,6,6,4,462.3,1
267222,LPDE,1436.11,5,5,5,369.84,2
267430,LPNL,776.07,5,5,2,303.34,1
267430,LPNL,776.07,5,5,2,303.34,2
267539,LPNL,1602.76,6,6,4,536.01,1
267539,LPNL,1602.76,6,6,4,536.01,2
267583,LPDE,50,3,3,0,50,1
267583,LPDE,50,1,1,0,50,2
267792,LPNL,438.05,4,4,1,242.33,1
267792,LPNL,438.05,4,4,1,242.33,2
268072,LPNL,689.69,4,4,1,605.1,1
268072,LPNL,689.69,4,4,1,605.1,2
268077,LPNL,62.88,4,4,0,30.93,1
268077,LPNL,62.88,4,4,0,30.93,2
268177,LPNL,815.18,5,5,1,354.72,1
268177,LPNL,815.18,5,5,1,354.72,2
268423,LPNL,787.43,9,9,1,271.31,1
268423,LPNL,787.43,9,9,1,271.31,2
268446,LPDE,3979.49,11,11,8,839,1
268446,LPDE,2233.75,11,11,5,461.45,2
268504,LPNL,913.76,6,6,2,260.51,1
268504,LPNL,913.76,6,6,2,260.51,2
268598,LPNL,200.85,3,3,0,195,1
268598,LPNL,200.85,3,3,0,195,2
