,VEHICLEID,TMD_SRCE_ENTITY,TOTALMILEAGEVALUE,MAKE,MODEL,CATALOG_PRICE_ACCESSORIES,CATALOG_PRICE_CAR,FIRSTUSE,MANUFACTUREYEAR,COLOR,DOORS,NUMBER_OF_SEATS,TYPE,FUELTYPE,GEARTYPE,VEHICLEKIND,BODYTYPE_CONS,HORSEPOWER,ENGINECAPACITY,CYLINDERCAPACITY,SALES_CHANNEL,SELLPRICE_CAR,DAMAGE_CURRENT,DAMAGE_COUNT,DAMAGE_CATEGORY,DAMAGE_LARGE_CATEGORY,DAMAGE_MAX,DEMAND_RANK,DAMAGE_RANK,RANK
81,503908,LPNL,180291,TOYOTA,Auris Touring Sports,0.0,25528.98,00:00.0,2015,Rood Metallic,5.0,,1.8 Hybrid Lease Pro Automaat 5d,HYBRID_PETROL,VARIOMATIC,CAR,Other,0.0,73.0,,TO BE DETERMINED,,338.0,2.0,3.0,0.0,190.0,0.97,0.9333333333333333,1.0
6,503388,LPNL,117782,HYUNDAI,i10,0.0,10633.81,00:00.0,2015,Wit Lak,5.0,,1.0 Blue ActieAuto Comfort 5d AHPL,GASOLINE,MANUAL,CAR,Other,0.0,49.0,,TO BE DETERMINED,,74.0,2.0,1.0,0.0,74.0,0.89,0.98,0.9933333333333333
125,501827,LPNL,53054,RENAULT,Trafic,1185.53,31987.97,00:00.0,2015,Grijs Metallic,4.0,,L2H1 T29 ENERGY 1.6 dCi 90 Com. S/S DC 4,DIESEL,MANUAL,TRUCK,Other,0.0,66.0,,TO BE DETERMINED,,339.31,2.0,3.0,1.0,206.8,0.9266666666666666,0.8733333333333333,0.9866666666666667
107,500387,LPNL,84113,SKODA,Yeti,1700.0,22058.18,00:00.0,2016,Grijs Metallic,5.0,,1.2 TSI Greentech JOY Outdoor 5d,GASOLINE,MANUAL,CAR,Other,0.0,81.0,,TO BE DETERMINED,,164.0,2.0,3.0,0.0,90.0,0.8133333333333334,0.96,0.98
90,501108,LPNL,101487,TOYOTA,Prius Wagon,491.74,28223.0,00:00.0,2013,Grijs Metallic,5.0,,1.8 Full Hybrid Aspiration CVT-aut 95CO2,HYBRID_PETROL,VARIOMATIC,CAR,Other,0.0,100.0,,TO BE DETERMINED,,373.0,2.0,2.0,1.0,299.0,0.97,0.79,0.9733333333333334
102,498707,LPNL,16764,NISSAN,Leaf,1257.77,29413.22,00:00.0,2012,Wit Lak,0.0,,- 5d,ELECTRIC,AUTOMATIC,CAR,Other,0.0,80.0,,TO BE DETERMINED,,0.0,2.0,1.0,0.0,0.0,0.7533333333333333,0.9966666666666667,0.9666666666666667
126,504268,LPNL,59819,TOYOTA,Auris Touring Sports,60.5,23462.87,00:00.0,2015,Zwart Metallic,5.0,,1.8 Hybrid Lease Automaat 5d,HYBRID_PETROL,VARIOMATIC,CAR,Other,0.0,100.0,,TO BE DETERMINED,,317.6,2.0,2.0,1.0,317.6,0.97,0.7733333333333333,0.96
7,489268,LPNL,73113,VOLVO,V40,0.0,22139.5,00:00.0,2014,Wit Lak,5.0,,T2 Kinetic 5d,GASOLINE,MANUAL,CAR,Other,0.0,88.0,,TO BE DETERMINED,,312.0,2.0,5.0,0.0,148.0,0.7966666666666666,0.9133333333333333,0.9533333333333334
139,500428,LPNL,30648,PEUGEOT,208,0.0,13771.0,00:00.0,2014,Blauw Metallic,5.0,,Access 1.2 VTi 82pk 5d,GASOLINE,MANUAL,CAR,Other,0.0,60.0,,TO BE DETERMINED,,260.3,2.0,2.0,1.0,260.3,0.84,0.8533333333333334,0.9433333333333334
136,502307,LPNL,22351,MERCEDES BENZ,CLA-Klasse,578.51,34792.23,00:00.0,2014,Zilver Metallic,4.0,,CLA 180 7G-DCT Prestige 4d,GASOLINE,AUTOMATIC,CAR,Other,0.0,90.0,,TO BE DETERMINED,,222.0,2.0,2.0,0.0,148.0,0.7266666666666667,0.9666666666666667,0.9433333333333334
43,502628,LPNL,11816,PEUGEOT,Zenith,0.0,1312.0,00:00.0,2005,Black,0.0,,Z Snorscooter,GASOLINE,AUTOMATIC,MOTORCYCLE,Other,0.0,1.0,,TO BE DETERMINED,,0.0,2.0,1.0,0.0,0.0,0.6933333333333334,0.9966666666666667,0.9333333333333333
98,499548,LPNL,57688,TOYOTA,Auris,0.0,20103.31,00:00.0,2014,Zwart Metallic,5.0,,1.8 Hybrid Aspiration 84g Automaat 5d,HYBRID_PETROL,VARIOMATIC,CAR,Other,0.0,100.0,,TO BE DETERMINED,,536.0,2.0,4.0,1.0,314.0,0.97,0.7133333333333334,0.9266666666666666
64,505028,LPNL,170442,RENAULT,Kangoo Express Compa,1292.77,13340.0,00:00.0,2016,Wit Lak,3.0,,1.5 ENERGY dCi 75 STOP & START Comfort 3,DIESEL,MANUAL,TRUCK,Other,0.0,55.0,,TO BE DETERMINED,,715.5,2.0,8.0,0.0,190.0,0.9266666666666666,0.74,0.92
73,502188,LPNL,95883,SKODA,Rapid Spaceback,0.0,16783.72,00:00.0,2014,Zwart Metallic,5.0,,1.2 TSI Greentech 63kW Elegance Buss Pro,GASOLINE,MANUAL,CAR,Other,0.0,63.0,,TO BE DETERMINED,,450.0,2.0,4.0,1.0,225.0,0.8133333333333334,0.8266666666666667,0.9133333333333333
20,501987,LPNL,162497,RENAULT,Mégane Estate,707.0,22481.13,00:00.0,2013,Wit Lak,5.0,,ENERGY dCi 110 S & S ECO2 Collection 5d,DIESEL,MANUAL,CAR,Other,0.0,81.0,,TO BE DETERMINED,,74.0,2.0,1.0,0.0,74.0,0.65,0.98,0.9066666666666666
127,505148,LPNL,81942,MINI,MINI,991.74,17010.73,00:00.0,2015,Zwart Metallic,5.0,,One 5d,GASOLINE,MANUAL,CAR,Other,0.0,75.0,,TO BE DETERMINED,,448.2,2.0,4.0,1.0,297.3,0.8766666666666667,0.7333333333333333,0.9
14,495148,LPNL,99855,RENAULT,Mégane Estate,1371.19,21406.75,00:00.0,2013,Wit Lak,5.0,,ENERGY dCi 110 S & S ECO2 Expression 5d,DIESEL,MANUAL,CAR,Other,0.0,81.0,,TO BE DETERMINED,,238.0,2.0,3.0,0.0,90.0,0.65,0.9533333333333334,0.8933333333333333
142,504107,LPNL,136842,TOYOTA,Auris Touring Sports,1338.85,23925.62,00:00.0,2014,Zwart Metallic,5.0,,1.8 Hybrid Lease Plus CVT-automaat 5d,HYBRID_PETROL,VARIOMATIC,CAR,Other,0.0,73.0,,TO BE DETERMINED,,677.5,2.0,5.0,2.0,297.3,0.97,0.6266666666666667,0.8866666666666667
29,500748,LPNL,111648,TOYOTA,Auris Touring Sports,0.0,24363.64,00:00.0,2014,Blauw Metallic,5.0,,1.8 Hybrid Lease Plus 87g Aut - Top 5 ed,HYBRID_PETROL,VARIOMATIC,CAR,Other,0.0,73.0,,TO BE DETERMINED,,770.24,2.0,7.0,2.0,225.0,0.97,0.62,0.88
96,501587,LPNL,74651,CITROEN,C1,0.0,8814.06,00:00.0,2013,Zwart Metallic,3.0,,1.0i Collection 3d,GASOLINE,MANUAL,CAR,Other,0.0,50.0,,TO BE DETERMINED,,373.0,2.0,2.0,1.0,299.0,0.7833333333333333,0.79,0.8733333333333333
87,500228,LPNL,170964,TOYOTA,Prius Wagon,262.0,32223.14,00:00.0,2013,Zwart Lak,5.0,,1.8 Full Hybrid Dynamic Business CVT-aut,HYBRID_PETROL,VARIOMATIC,CAR,Other,0.0,73.0,,TO BE DETERMINED,,887.7,2.0,5.0,3.0,225.0,0.97,0.5866666666666667,0.8666666666666667
83,503787,LPNL,12492,HYUNDAI,i10,0.0,10454.7,00:00.0,2018,Rood Metallic,5.0,,1.0i Blue ActieAuto 5d Comfort AHXL,GASOLINE,MANUAL,CAR,Other,0.0,49.0,,TO BE DETERMINED,,739.0,2.0,4.0,2.0,297.3,0.89,0.6533333333333333,0.8566666666666667
147,501868,LPNL,187546,RENAULT,Mégane Estate,395.0,23472.87,00:00.0,2013,Zwart Metallic,5.0,,ENERGY dCi 110 STOP & START ECO2 Bose 5d,DIESEL,MANUAL,CAR,Other,0.0,81.0,,TO BE DETERMINED,,444.0,2.0,5.0,0.0,148.0,0.65,0.8933333333333333,0.8566666666666667
70,501427,LPNL,139201,VOLKSWAGEN,Passat Variant,0.0,29603.45,00:00.0,2014,Beige Metallic,5.0,,1.4 TSI 90kW Comfortline BMT 5d,GASOLINE,MANUAL,CAR,Other,0.0,90.0,,TO BE DETERMINED,,522.0,2.0,5.0,1.0,225.0,0.74,0.78,0.8466666666666667
110,499347,LPNL,41159,FORD,Fiesta,0.0,14661.02,00:00.0,2017,Zilver Metallic,5.0,,1.0 Style Ultimate 5d,GASOLINE,MANUAL,CAR,Other,0.0,59.0,,TO BE DETERMINED,,74.0,2.0,1.0,0.0,74.0,0.5266666666666666,0.98,0.84
130,505868,LPNL,150108,VOLVO,V40,0.0,25046.25,00:00.0,2012,Blauw Metallic,5.0,,T3 Momentum 5d,GASOLINE,MANUAL,CAR,Other,0.0,110.0,,TO BE DETERMINED,,847.0,2.0,7.0,1.0,222.0,0.7966666666666666,0.6933333333333334,0.8333333333333334
57,501308,LPNL,161019,RENAULT,Mégane Estate,1116.44,21406.75,00:00.0,2013,Wit Lak,5.0,,ENERGY dCi 110 S & S ECO2 Expression 5d,DIESEL,MANUAL,CAR,Other,0.0,81.0,,TO BE DETERMINED,,465.6,2.0,5.0,1.0,216.1,0.65,0.82,0.8266666666666667
91,507948,LPNL,155579,VOLKSWAGEN,Jetta,0.0,25116.0,00:00.0,2013,Grijs Metallic,4.0,,1.4 TSI 7-DSG Hybrid Highline 4d,HYBRID_PETROL,AUTOMATIC,CAR,Other,0.0,110.0,,TO BE DETERMINED,,300.0,2.0,2.0,1.0,225.0,0.5766666666666667,0.8833333333333333,0.82
75,502427,LPNL,61362,PEUGEOT,208,54.93,14567.02,00:00.0,2016,Zwart Metallic,5.0,,Active 1.2 PureTech 82 99g 5d,GASOLINE,MANUAL,CAR,Other,0.0,60.0,,TO BE DETERMINED,,848.95,2.0,9.0,1.0,225.0,0.84,0.6066666666666667,0.8133333333333334
74,502148,LPNL,26381,VOLKSWAGEN,Caddy,1393.88,14000.0,00:00.0,2016,Wit Lak,4.0,,2.0 TDI 55 kW BMT 4d,DIESEL,MANUAL,TRUCK,Other,0.0,55.0,,TO BE DETERMINED,,667.8,2.0,3.0,1.0,503.8,0.7666666666666667,0.66,0.8066666666666666
13,495948,LPNL,20044,TOYOTA,Yaris,0.0,13395.14,00:00.0,2016,Beige Metallic,5.0,,1.0 VVT-i Aspiration 5d,GASOLINE,MANUAL,CAR,Other,0.0,51.0,,TO BE DETERMINED,,838.2,2.0,3.0,2.0,398.8,0.8566666666666667,0.54,0.8
10,500308,LPNL,77736,PEUGEOT,208,0.0,14856.59,00:00.0,2015,Zwart Metallic,5.0,,ActieAuto 1.2 PureTech 82 99g Urban Soul,GASOLINE,MANUAL,CAR,Other,0.0,60.0,,TO BE DETERMINED,,1098.4,2.0,7.0,2.0,225.0,0.84,0.5533333333333333,0.7933333333333333
24,494787,LPNL,107147,AUDI,A5 Sportback,0.0,36675.0,00:00.0,2013,Zwart Metallic,5.0,,1.8 TFSI Pro Line 5d,GASOLINE,MANUAL,CAR,Other,0.0,125.0,,TO BE DETERMINED,,519.6,2.0,5.0,1.0,225.0,0.59,0.8,0.7866666666666666
72,500468,LPNL,113701,RENAULT,Mégane Estate,0.0,21553.99,00:00.0,2012,Zwart Metallic,5.0,,ENERGY TCe 115 STOP & START Bose 5d,GASOLINE,MANUAL,CAR,Other,0.0,85.0,,TO BE DETERMINED,,925.9,2.0,7.0,2.0,300.9,0.9033333333333333,0.48,0.78
